Name,2018,2019,2020,2021,2022,2023,2024,2025
PT XL AXIATA TBK - TOTAL DEBT % COMMON EQUITY,125.77,140.83,175.72,177.46,171.43,174.19,176.85,NA
PT XL AXIATA TBK - TOTAL DEBT % TOTAL CAPITAL/STD,55.71,58.48,63.73,63.96,63.04,63.4,63.74,NA
PT XL AXIATA TBK - BOOK VALUE-OUT SHARES-FISCAL,1716.239,1789.113,1797.016,1883.051,1961.694,2016.56,1993.613,NA
PT XL AXIATA TBK - PRICE TO BOOK VAL,1.6,1.49,1.2,1.15,1.32,0.9,1.15,1.1
ADVANTEST CORP - RETURN ON ASSETS,7.82,21.22,16.94,18.97,20.2,25.11,10.58,NA
ADVANTEST CORP - TOTAL DEBT % COMMON EQUITY,23.97,0,4.88,4.23,14.75,13.79,21.9,NA
ADVANTEST CORP - TOTAL DEBT % TOTAL CAPITAL/STD,19.34,0,4.65,4.06,12.86,12.12,17.97,NA
ADVANTEST CORP - BOOK VALUE-OUT SHARES-FISCAL,174.01,251.133,291.627,356.822,387.848,500.361,583.926,NA
ADVANTEST CORP - PRICE TO BOOK VAL,2.22,2.63,3.2,6.96,4.29,4.84,10.22,9.65
JAPAN TOBACCO INC. - RETURN ON ASSETS,7.63,6.87,6.13,6.51,7.65,7.39,2.76,NA
JAPAN TOBACCO INC. - TOTAL DEBT % COMMON EQUITY,37.54,36.6,38.01,32.7,27.07,29.82,45.84,NA
JAPAN TOBACCO INC. - TOTAL DEBT % TOTAL CAPITAL/STD,26.78,26.21,26.95,24.14,20.95,22.6,30.97,NA
JAPAN TOBACCO INC. - BOOK VALUE-OUT SHARES-FISCAL,1468.438,1501.122,1421.92,1583.104,1994.776,2157.46,2121.335,NA
JAPAN TOBACCO INC. - PRICE TO BOOK VAL,2.02,1.75,1.4,1.31,1.09,1.3,1.95,1.93
ASAHI KASEI - RETURN ON ASSETS,7.63,6.23,4.03,2.87,5.32,-2.55,1.47,NA
ASAHI KASEI - TOTAL DEBT % COMMON EQUITY,23.44,30.75,52.11,45.23,46.06,58.69,52.69,NA
ASAHI KASEI - TOTAL DEBT % TOTAL CAPITAL/STD,18.78,23.25,33.86,30.75,31.14,36.5,34.08,NA
ASAHI KASEI - BOOK VALUE-OUT SHARES-FISCAL,922.115,989.514,979.692,1057.614,1216.334,1198.298,1308.202,NA
ASAHI KASEI - PRICE TO BOOK VAL,1.44,1.19,0.69,1.01,0.88,0.71,0.86,0.72
ACCESS CO - RETURN ON ASSETS,0.8,1.22,1.56,-8.25,-10.76,-10.21,-1.07,NA
ACCESS CO - TOTAL DEBT % COMMON EQUITY,0,0,0,0,0,0,0,NA
ACCESS CO - TOTAL DEBT % TOTAL CAPITAL/STD,0,0,0,0,0,0,0,NA
ACCESS CO - BOOK VALUE-OUT SHARES-FISCAL,761.111,768.671,779.035,700.849,647.979,589.445,601.564,NA
ACCESS CO - PRICE TO BOOK VAL,1.34,1.17,1.2,1.26,0.94,1.42,2.36,1.21
ACOM CO LTD - RETURN ON ASSETS,6.53,3.71,5.27,6.88,5.12,4.76,4.33,NA
ACOM CO LTD - TOTAL DEBT % COMMON EQUITY,244.43,218.68,172.19,125.59,107.28,100.01,105.85,NA
ACOM CO LTD - TOTAL DEBT % TOTAL CAPITAL/STD,69.62,67.12,61.78,54.22,50.29,48.39,49.65,NA
ACOM CO LTD - BOOK VALUE-OUT SHARES-FISCAL,206.123,227.353,265.109,310.022,339.51,370.919,400.872,NA
ACOM CO LTD - PRICE TO BOOK VAL,2.15,1.43,1.46,1.51,0.85,0.8,1.02,0.87
"AEON MALL CO., LTD. - RETURN ON ASSETS",3.05,3.11,3.17,0.58,1.93,1.29,1.76,NA
"AEON MALL CO., LTD. - TOTAL DEBT % COMMON EQUITY",108.66,132.24,169.13,188.07,181.9,180.28,184.61,NA
"AEON MALL CO., LTD. - TOTAL DEBT % TOTAL CAPITAL/STD",51.3,56.27,62.22,64.68,63.96,63.74,64.29,NA
"AEON MALL CO., LTD. - BOOK VALUE-OUT SHARES-FISCAL",1643.216,1685.867,1731.322,1658.34,1830.364,1935.901,2040.499,NA
"AEON MALL CO., LTD. - PRICE TO BOOK VAL",1.32,1.01,0.79,0.99,0.8,0.86,0.85,1.23
AEON FINANCIAL - RETURN ON ASSETS,1.12,1.03,0.98,0.53,0.71,0.72,0.57,0.55
AEON FINANCIAL - TOTAL DEBT % COMMON EQUITY,217.27,225.04,270.6,259.83,256.32,278.43,286.45,275.47
AEON FINANCIAL - TOTAL DEBT % TOTAL CAPITAL/STD,64.75,65.63,69.87,68.73,68.11,69.11,69.57,68.48
AEON FINANCIAL - BOOK VALUE-OUT SHARES-FISCAL,1715.401,1764.535,1823.433,1860.279,1965.628,2014.355,2123.497,2154.071
AEON FINANCIAL - PRICE TO BOOK VAL,1.36,1.22,0.61,0.74,0.58,0.59,0.63,0.53
AGC INC - RETURN ON ASSETS,4.39,2.36,1.58,5,0.01,2.75,-2.7,NA
AGC INC - TOTAL DEBT % COMMON EQUITY,47.64,52.1,70.66,45.9,46.77,48.03,45.25,NA
AGC INC - TOTAL DEBT % TOTAL CAPITAL/STD,30.18,31.97,38.8,28.94,29.08,29.58,27.99,NA
AGC INC - BOOK VALUE-OUT SHARES-FISCAL,5134.192,5222.252,5031.589,5921.678,6260.79,6820.107,6763.718,NA
AGC INC - PRICE TO BOOK VAL,0.87,0.74,0.52,0.81,0.76,0.72,0.86,0.62
AIFUL CORP - RETURN ON ASSETS,1.58,2.41,0.35,2.99,2.18,2.94,2.53,NA
AIFUL CORP - TOTAL DEBT % COMMON EQUITY,320.47,337.46,380.83,316.63,313.86,319.75,336.32,NA
AIFUL CORP - TOTAL DEBT % TOTAL CAPITAL/STD,75.44,76.61,78.82,75.73,75.53,75.82,76.77,NA
AIFUL CORP - BOOK VALUE-OUT SHARES-FISCAL,236.612,256.924,260.526,300.92,318.171,364.011,409.043,NA
AIFUL CORP - PRICE TO BOOK VAL,1.32,0.99,0.75,0.97,1.01,0.9,1.19,0.78
AJINOMOTO CO INC - RETURN ON ASSETS,4.59,2.29,1.53,4.5,5.45,6.57,5.55,NA
AJINOMOTO CO INC - TOTAL DEBT % COMMON EQUITY,53.9,55.45,76.73,65.55,53.08,43.69,60.19,NA
AJINOMOTO CO INC - TOTAL DEBT % TOTAL CAPITAL/STD,32.42,33.04,41.12,37.84,33.02,28.99,35.68,NA
AJINOMOTO CO INC - BOOK VALUE-OUT SHARES-FISCAL,563.89,556.752,491.831,565.762,639.841,727.478,796.79,NA
AJINOMOTO CO INC - PRICE TO BOOK VAL,1.73,1.75,1.65,1.73,2.42,2.97,3.5,3.53
MEBUKI FINANCIAL - RETURN ON ASSETS,0.28,0.29,0.22,0.19,0.19,0.16,0.23,NA
MEBUKI FINANCIAL - TOTAL DEBT % COMMON EQUITY,162.19,174.79,194.6,510.68,607.16,308.65,280.41,NA
MEBUKI FINANCIAL - TOTAL DEBT % TOTAL CAPITAL/STD,61.82,63.58,66.03,83.61,85.85,75.52,73.7,NA
MEBUKI FINANCIAL - BOOK VALUE-OUT SHARES-FISCAL,754.02,783.872,761,861.192,888.222,849.981,973.592,NA
MEBUKI FINANCIAL - PRICE TO BOOK VAL,0.53,0.37,0.25,0.28,0.3,0.33,0.56,0.63
ALPS ALPINE - RETURN ON ASSETS,7.66,3.49,-0.42,-0.47,3.29,1.64,-3.91,NA
ALPS ALPINE - TOTAL DEBT % COMMON EQUITY,24.2,30.59,32.33,35.79,31.1,30.71,33.13,NA
ALPS ALPINE - TOTAL DEBT % TOTAL CAPITAL/STD,14.93,22.06,22.79,24.61,22.17,23.42,24.81,NA
ALPS ALPINE - BOOK VALUE-OUT SHARES-FISCAL,1539.07,1733.074,1588.424,1666.315,1880.294,1937.989,1902.765,NA
ALPS ALPINE - PRICE TO BOOK VAL,1.51,1.5,0.62,0.74,0.59,0.65,0.66,0.7
ALFRESA HOLDINGS - RETURN ON ASSETS,2.75,3.12,3,1.84,2.46,1.96,2.13,NA
ALFRESA HOLDINGS - TOTAL DEBT % COMMON EQUITY,1.53,1.53,1.51,1.26,1.07,0.79,7.28,NA
ALFRESA HOLDINGS - TOTAL DEBT % TOTAL CAPITAL/STD,1.5,1.5,1.49,1.24,1.06,0.78,6.79,NA
ALFRESA HOLDINGS - BOOK VALUE-OUT SHARES-FISCAL,2006.535,2082.912,2237.891,2313.652,2330.36,2411.894,2566.506,NA
ALFRESA HOLDINGS - PRICE TO BOOK VAL,1.11,1.37,0.94,0.91,0.7,0.7,0.85,0.78
AMADA CO LTD - RETURN ON ASSETS,5.55,6.12,4.27,3.4,4.8,5.51,6.26,NA
AMADA CO LTD - TOTAL DEBT % COMMON EQUITY,3.13,2.25,4.93,3.33,1.47,1.06,1.55,NA
AMADA CO LTD - TOTAL DEBT % TOTAL CAPITAL/STD,3.01,2.18,4.66,3.2,1.44,1.04,1.52,NA
AMADA CO LTD - BOOK VALUE-OUT SHARES-FISCAL,1190.981,1238.179,1239.961,1285.95,1380.05,1450.074,1584.102,NA
AMADA CO LTD - PRICE TO BOOK VAL,1.04,0.96,0.69,0.89,0.68,0.76,1.09,0.83
ANA HOLDINGS INC - RETURN ON ASSETS,6.32,4.54,1.22,-14.24,-3.99,3.61,5.42,NA
ANA HOLDINGS INC - TOTAL DEBT % COMMON EQUITY,80.75,71.73,79.44,164.36,219.52,186.44,142.08,NA
ANA HOLDINGS INC - TOTAL DEBT % TOTAL CAPITAL/STD,44.38,41.55,44.09,62.05,68.54,64.88,58.5,NA
ANA HOLDINGS INC - BOOK VALUE-OUT SHARES-FISCAL,2954.469,3285.464,3171.795,2141.488,1695.06,1833.64,2222.032,NA
ANA HOLDINGS INC - PRICE TO BOOK VAL,1.28,1.27,1.14,1.45,1.31,1.26,1.4,1.21
AOYAMA TRADING CO - RETURN ON ASSETS,3,1.51,-4.51,-11.37,0.47,1.42,3.19,NA
AOYAMA TRADING CO - TOTAL DEBT % COMMON EQUITY,39.72,40.95,57.17,65.75,66.8,64.72,52.92,NA
AOYAMA TRADING CO - TOTAL DEBT % TOTAL CAPITAL/STD,28.16,28.74,35.97,39.14,39.55,38.78,34.13,NA
AOYAMA TRADING CO - BOOK VALUE-OUT SHARES-FISCAL,4505.516,4418.584,3932.557,3231.497,3234.471,3339.322,3552.29,NA
AOYAMA TRADING CO - PRICE TO BOOK VAL,0.92,0.62,0.26,0.26,0.2,0.25,0.47,0.56
AOZORA BANK LTD - RETURN ON ASSETS,1.03,0.89,0.69,0.59,0.6,0.55,0.21,NA
AOZORA BANK LTD - TOTAL DEBT % COMMON EQUITY,253.44,257.7,242.43,212.89,211.71,216.08,269.7,NA
AOZORA BANK LTD - TOTAL DEBT % TOTAL CAPITAL/STD,71.65,72.05,70.93,68.24,68.19,68.74,72.61,NA
AOZORA BANK LTD - BOOK VALUE-OUT SHARES-FISCAL,3737.846,3847.121,3663.648,4237.66,4226.118,3756.255,3290.51,NA
AOZORA BANK LTD - PRICE TO BOOK VAL,1.11,0.73,0.49,0.57,0.69,0.74,0.75,0.55
HASEKO CORP - RETURN ON ASSETS,11.1,12.12,7.77,5.65,5.5,5.36,4.56,NA
HASEKO CORP - TOTAL DEBT % COMMON EQUITY,42.38,32.95,39.4,68.04,74.73,86.28,81.24,NA
HASEKO CORP - TOTAL DEBT % TOTAL CAPITAL/STD,29.71,24.73,28.26,40.49,42.77,46.32,44.82,NA
HASEKO CORP - BOOK VALUE-OUT SHARES-FISCAL,995.437,1234.134,1323.509,1425.935,1520.727,1666.294,1874.173,NA
HASEKO CORP - PRICE TO BOOK VAL,1.32,1.03,0.83,1.06,0.82,0.83,1,1.03
ASAHI INTECC CO - RETURN ON ASSETS,14.85,14.46,10.4,9.65,8.13,8.18,8.82,NA
ASAHI INTECC CO - TOTAL DEBT % COMMON EQUITY,12.48,9.88,12.2,9.83,11.17,12.25,5.68,NA
ASAHI INTECC CO - TOTAL DEBT % TOTAL CAPITAL/STD,11.09,8.99,10.87,8.95,9.92,10.77,5.35,NA
ASAHI INTECC CO - BOOK VALUE-OUT SHARES-FISCAL,207.368,251.393,276.148,349.343,439.796,487.115,556.711,NA
ASAHI INTECC CO - PRICE TO BOOK VAL,10.08,10.2,10.5,9,5.81,4.81,4.24,3.92
ASAHI GROUP - RETURN ON ASSETS,4.88,4.77,2.68,3.66,3.46,3.47,3.88,NA
ASAHI GROUP - TOTAL DEBT % COMMON EQUITY,91.33,75.68,120.28,90.84,72.66,57.34,47.93,NA
ASAHI GROUP - TOTAL DEBT % TOTAL CAPITAL/STD,47.66,43.04,54.58,47.57,42.06,36.39,32.36,NA
ASAHI GROUP - BOOK VALUE-OUT SHARES-FISCAL,834.222,906.918,997.355,1155.822,1355.708,1618.741,1775.824,NA
ASAHI GROUP - PRICE TO BOOK VAL,2.25,1.76,1.23,1.37,1.11,1.02,1.03,1.08
JAFCO GROUP CO LTD - RETURN ON ASSETS,11.3,5.41,5.83,15.91,6.09,20.68,4.62,NA
JAFCO GROUP CO LTD - TOTAL DEBT % COMMON EQUITY,0.61,0.22,0.13,0.05,0.09,0.11,10.98,NA
JAFCO GROUP CO LTD - TOTAL DEBT % TOTAL CAPITAL/STD,0.61,0.22,0.13,0.05,0.09,0.11,9.89,NA
JAFCO GROUP CO LTD - BOOK VALUE-OUT SHARES-FISCAL,1727.494,1758.93,2029.994,2438.703,2769.143,2404.064,2526.228,NA
JAFCO GROUP CO LTD - PRICE TO BOOK VAL,0.91,0.66,0.43,0.85,0.74,0.75,0.74,0.8
AUTOBACS SEVEN CO - RETURN ON ASSETS,3,3.03,2.21,4.04,3.84,3.89,3.38,NA
AUTOBACS SEVEN CO - TOTAL DEBT % COMMON EQUITY,5.44,4.04,6.12,10.28,8.78,9.63,7.23,NA
AUTOBACS SEVEN CO - TOTAL DEBT % TOTAL CAPITAL/STD,5.14,3.86,5.74,9.28,8.05,8.76,6.73,NA
AUTOBACS SEVEN CO - BOOK VALUE-OUT SHARES-FISCAL,1537.582,1526.6,1493.43,1542.39,1572.482,1624.453,1652.709,NA
AUTOBACS SEVEN CO - PRICE TO BOOK VAL,1.32,1.26,0.82,0.95,0.82,0.88,0.95,0.88
NISHIMATSU CONST. CO - RETURN ON ASSETS,4.47,4.49,3.96,3.62,3.29,2.08,2.38,NA
NISHIMATSU CONST. CO - TOTAL DEBT % COMMON EQUITY,23.68,43.71,61.97,55.88,106.45,113.82,110.86,NA
NISHIMATSU CONST. CO - TOTAL DEBT % TOTAL CAPITAL/STD,18.98,30.19,37.97,35.68,50.53,52.04,51.42,NA
NISHIMATSU CONST. CO - BOOK VALUE-OUT SHARES-FISCAL,3348.372,3605.583,3599.007,3765.637,3833.701,3770.786,4276.984,NA
NISHIMATSU CONST. CO - PRICE TO BOOK VAL,0.78,0.65,0.54,0.72,0.99,0.81,1.06,1.14
AZBIL CORP - RETURN ON ASSETS,6.68,7.02,7.35,7.25,7.47,7.99,10.1,NA
AZBIL CORP - TOTAL DEBT % COMMON EQUITY,7.86,7.07,6.47,6.61,6.1,8.45,6.33,NA
AZBIL CORP - TOTAL DEBT % TOTAL CAPITAL/STD,7.21,6.54,6.01,6.13,5.67,7.69,5.87,NA
AZBIL CORP - BOOK VALUE-OUT SHARES-FISCAL,303.284,316.221,328.292,355.132,364.767,379.5,420.09,NA
AZBIL CORP - PRICE TO BOOK VAL,1.93,2.06,1.96,3.32,2.51,2.1,2.6,2.71
BROTHER INDUSTRIES - RETURN ON ASSETS,7.52,7.94,7.28,3.5,8.11,4.95,3.81,NA
BROTHER INDUSTRIES - TOTAL DEBT % COMMON EQUITY,30.6,23.73,31.97,17.35,11.93,11.21,5.64,NA
BROTHER INDUSTRIES - TOTAL DEBT % TOTAL CAPITAL/STD,22.68,18.58,23.53,14.36,10.66,10.08,5.34,NA
BROTHER INDUSTRIES - BOOK VALUE-OUT SHARES-FISCAL,1523.089,1635.223,1649.218,1858.281,2170.463,2334.343,2613.434,NA
BROTHER INDUSTRIES - PRICE TO BOOK VAL,1.51,1.31,0.93,1.11,0.93,0.78,1.09,0.9
NISSHIN SEIFUN - RETURN ON ASSETS,3.76,3.81,3.96,3.12,2.76,-0.96,4.52,NA
NISSHIN SEIFUN - TOTAL DEBT % COMMON EQUITY,4.04,4.31,21.81,18.2,18.1,20.49,17.65,NA
NISSHIN SEIFUN - TOTAL DEBT % TOTAL CAPITAL/STD,3.75,3.99,17.4,15.06,15,16.53,14.6,NA
NISSHIN SEIFUN - BOOK VALUE-OUT SHARES-FISCAL,1345.316,1360.058,1329.172,1456.765,1510.674,1425.385,1682.108,NA
NISSHIN SEIFUN - PRICE TO BOOK VAL,1.59,1.89,1.12,1.21,1.23,0.94,1.24,1.05
EZAKI GLICO CO LTD - RETURN ON ASSETS,4.58,4.44,3.48,3.9,2.25,3.73,2.12,NA
EZAKI GLICO CO LTD - TOTAL DEBT % COMMON EQUITY,15.49,14.5,14.19,12.9,13.37,12.41,1.24,NA
EZAKI GLICO CO LTD - TOTAL DEBT % TOTAL CAPITAL/STD,13.06,12.27,12.39,11.41,11.78,11.02,1.22,NA
EZAKI GLICO CO LTD - BOOK VALUE-OUT SHARES-FISCAL,3165.883,3284.201,3420.925,3710.648,3841.624,4128.695,4272.432,NA
EZAKI GLICO CO LTD - PRICE TO BOOK VAL,1.71,1.75,1.33,1.18,0.96,0.81,0.99,1.1
BRIDGESTONE CORP - RETURN ON ASSETS,7.76,7.85,-0.24,9.34,6.63,6.79,5.51,NA
BRIDGESTONE CORP - TOTAL DEBT % COMMON EQUITY,17.15,26.07,46.8,30.84,25.87,24.75,19.5,NA
BRIDGESTONE CORP - TOTAL DEBT % TOTAL CAPITAL/STD,14.36,20.31,31.43,23.27,20.3,19.6,16.12,NA
BRIDGESTONE CORP - BOOK VALUE-OUT SHARES-FISCAL,3168.306,3255.02,3053.346,3734.229,4333.761,4898.25,5448.98,NA
BRIDGESTONE CORP - PRICE TO BOOK VAL,1.5,1.35,1.09,1.18,1.03,1.07,1.22,1.01
"KOBE STEEL, LTD. - RETURN ON ASSETS",3.19,1.85,-2.52,1.43,2.7,3.01,4.2,NA
"KOBE STEEL, LTD. - TOTAL DEBT % COMMON EQUITY",111.37,111.3,145.44,152.84,125.21,113.46,85.13,NA
"KOBE STEEL, LTD. - TOTAL DEBT % TOTAL CAPITAL/STD",51.11,50.61,57.15,58.53,53.92,51.47,44.38,NA
"KOBE STEEL, LTD. - BOOK VALUE-OUT SHARES-FISCAL",2049.954,2041.289,1811.103,1958.571,2066.485,2314.32,2675.133,NA
"KOBE STEEL, LTD. - PRICE TO BOOK VAL",0.53,0.48,0.18,0.36,0.24,0.38,0.74,0.6
YAMAZAKI BAKING CO. - RETURN ON ASSETS,1.96,2.04,1.04,1.53,1.74,4,4.44,NA
YAMAZAKI BAKING CO. - TOTAL DEBT % COMMON EQUITY,28.49,23.47,21.72,28.57,23.7,20.03,24.52,NA
YAMAZAKI BAKING CO. - TOTAL DEBT % TOTAL CAPITAL/STD,20.66,17.65,16.53,20.38,17.45,15.23,17.99,NA
YAMAZAKI BAKING CO. - BOOK VALUE-OUT SHARES-FISCAL,1439.72,1505.368,1520.241,1609.572,1743.422,1942.848,2072.336,NA
YAMAZAKI BAKING CO. - PRICE TO BOOK VAL,1.56,1.15,1.43,1.08,0.89,0.81,1.86,1.42
CALBEE - RETURN ON ASSETS,9.4,10.09,8.62,8,7.79,6.39,7.7,NA
CALBEE - TOTAL DEBT % COMMON EQUITY,1.08,0.83,0.83,3.76,1.14,1.06,14.1,NA
CALBEE - TOTAL DEBT % TOTAL CAPITAL/STD,1.02,0.79,0.8,3.49,1.08,1,11.85,NA
CALBEE - BOOK VALUE-OUT SHARES-FISCAL,1043.42,1151.742,1221.183,1312.243,1358.257,1393.737,1535.491,NA
CALBEE - PRICE TO BOOK VAL,3.12,2.45,2.27,2.05,1.69,1.83,2.31,1.83
CAPCOM CO LTD - RETURN ON ASSETS,9.28,10.66,12.67,17.15,19.42,18.98,19.6,NA
CAPCOM CO LTD - TOTAL DEBT % COMMON EQUITY,12.3,10.24,7.95,5.65,4.16,7.29,6.23,NA
CAPCOM CO LTD - TOTAL DEBT % TOTAL CAPITAL/STD,10.95,9.29,7.36,5.35,4,6.8,5.87,NA
CAPCOM CO LTD - BOOK VALUE-OUT SHARES-FISCAL,195.044,207.84,233.57,282.89,343.033,385.268,466.434,NA
CAPCOM CO LTD - PRICE TO BOOK VAL,2.66,2.57,2.97,5.5,4.06,5.02,5.69,8.01
CASIO COMPUTER CO - RETURN ON ASSETS,5.58,6.29,5.26,3.72,4.87,4.03,3.6,NA
CASIO COMPUTER CO - TOTAL DEBT % COMMON EQUITY,36.25,33.38,33.46,27.16,24.5,24.28,24.47,NA
CASIO COMPUTER CO - TOTAL DEBT % TOTAL CAPITAL/STD,26.61,25.02,25.07,21.36,19.68,19.54,19.66,NA
CASIO COMPUTER CO - BOOK VALUE-OUT SHARES-FISCAL,839.1,859.018,834.979,873.417,908.995,926.348,997.268,NA
CASIO COMPUTER CO - PRICE TO BOOK VAL,1.94,1.67,1.99,2.34,1.43,1.29,1.36,1.1
TOKYO CENTURY CORP - RETURN ON ASSETS,1.41,1.35,1.2,0.92,0.94,0.12,1.24,NA
TOKYO CENTURY CORP - TOTAL DEBT % COMMON EQUITY,710.9,712.9,770.57,750,631.45,594.96,546.49,NA
TOKYO CENTURY CORP - TOTAL DEBT % TOTAL CAPITAL/STD,86.09,85.34,86.66,86.19,84.28,83.64,82.54,NA
TOKYO CENTURY CORP - BOOK VALUE-OUT SHARES-FISCAL,940.419,1013.757,1140.347,1172.74,1381.851,1559.704,1785.897,NA
TOKYO CENTURY CORP - PRICE TO BOOK VAL,1.58,1.11,0.8,1.34,0.66,0.61,0.91,0.78
"CHIBA BANK, LTD. - RETURN ON ASSETS",0.4,0.37,0.34,0.31,0.3,0.34,0.36,NA
"CHIBA BANK, LTD. - TOTAL DEBT % COMMON EQUITY",77.09,95.27,126.88,195.69,227.35,235.23,288.45,NA
"CHIBA BANK, LTD. - TOTAL DEBT % TOTAL CAPITAL/STD",43.53,48.79,55.92,66.18,69.45,70.17,74.26,NA
"CHIBA BANK, LTD. - BOOK VALUE-OUT SHARES-FISCAL",1207.81,1250.68,1251.104,1402.248,1436.743,1464.457,1651.464,NA
"CHIBA BANK, LTD. - PRICE TO BOOK VAL",0.67,0.48,0.35,0.49,0.52,0.52,0.78,0.69
COMSYS HOLDINGS CORP - RETURN ON ASSETS,6.67,7.37,5.89,6.37,5.87,3.8,5.44,NA
COMSYS HOLDINGS CORP - TOTAL DEBT % COMMON EQUITY,0.13,4.44,3.36,2.4,10.14,1.74,1.5,NA
COMSYS HOLDINGS CORP - TOTAL DEBT % TOTAL CAPITAL/STD,0.13,4.22,3.23,2.32,9.1,1.69,1.46,NA
COMSYS HOLDINGS CORP - BOOK VALUE-OUT SHARES-FISCAL,2012.904,2323.462,2429.983,2625.743,2767.642,2831.895,3040.548,NA
COMSYS HOLDINGS CORP - PRICE TO BOOK VAL,1.25,1.23,1.07,1.28,0.93,0.81,1.17,1.01
SUMITOMO REALTY/DEV. - RETURN ON ASSETS,2.64,2.81,2.96,2.81,2.84,2.87,2.92,NA
SUMITOMO REALTY/DEV. - TOTAL DEBT % COMMON EQUITY,311.74,276.78,265.78,236.99,217.9,218.87,193.21,NA
SUMITOMO REALTY/DEV. - TOTAL DEBT % TOTAL CAPITAL/STD,75.71,73.46,72.66,70.33,68.54,68.64,65.89,NA
SUMITOMO REALTY/DEV. - BOOK VALUE-OUT SHARES-FISCAL,2352.53,2549.09,2732.412,3171.338,3447.805,3796.636,4326.687,NA
SUMITOMO REALTY/DEV. - PRICE TO BOOK VAL,1.57,1.54,0.86,1.1,0.91,0.7,1.3,1.23
CHUBU ELECTRIC POWER - RETURN ON ASSETS,1.77,1.75,3.26,2.99,-0.42,0.8,6.36,NA
CHUBU ELECTRIC POWER - TOTAL DEBT % COMMON EQUITY,153.43,170.75,131.64,119.24,142.55,145.52,121.82,NA
CHUBU ELECTRIC POWER - TOTAL DEBT % TOTAL CAPITAL/STD,59.69,62.21,55.97,53.52,57.52,58.11,53.89,NA
CHUBU ELECTRIC POWER - BOOK VALUE-OUT SHARES-FISCAL,2285.872,2350.519,2504.682,2686.118,2667.657,2725.434,3419.418,NA
CHUBU ELECTRIC POWER - PRICE TO BOOK VAL,0.66,0.65,0.56,0.51,0.48,0.42,0.59,0.48
CANON INC. - RETURN ON ASSETS,5.02,2.6,1.79,4.59,4.97,5.06,2.9,NA
CANON INC. - TOTAL DEBT % COMMON EQUITY,14.16,14.83,15.42,7.82,9.6,11.61,15.48,NA
CANON INC. - TOTAL DEBT % TOTAL CAPITAL/STD,11.72,12.13,12.48,6.76,8.19,9.74,12.56,NA
CANON INC. - BOOK VALUE-OUT SHARES-FISCAL,2618.757,2531.028,2462.322,2747.993,3065.548,3394.439,3580.829,NA
CANON INC. - PRICE TO BOOK VAL,1.49,1.27,0.94,0.94,0.97,0.86,1.24,1.18
WACOAL HOLDINGS CORP - RETURN ON ASSETS,3.3,0.12,1.25,2.37,1.49,-0.52,-2.91,NA
WACOAL HOLDINGS CORP - TOTAL DEBT % COMMON EQUITY,3.13,3.81,1.68,19.57,5.32,9.73,9.74,NA
WACOAL HOLDINGS CORP - TOTAL DEBT % TOTAL CAPITAL/STD,2.98,3.6,1.62,16.18,4.98,8.74,8.75,NA
WACOAL HOLDINGS CORP - BOOK VALUE-OUT SHARES-FISCAL,3454.396,3321.573,3291.063,3454.175,3628.56,3617.028,3846.657,NA
WACOAL HOLDINGS CORP - PRICE TO BOOK VAL,0.93,0.84,0.66,0.68,0.51,0.66,0.89,1.31
COSMO ENERGY HOLD - RETURN ON ASSETS,5.12,3.6,-1.15,5.65,8.04,3.59,3.99,NA
COSMO ENERGY HOLD - TOTAL DEBT % COMMON EQUITY,327.43,283.51,324.87,217.33,149.46,147.34,116.38,NA
COSMO ENERGY HOLD - TOTAL DEBT % TOTAL CAPITAL/STD,68.69,66.48,68.22,61.13,53.87,53.97,49.02,NA
COSMO ENERGY HOLD - BOOK VALUE-OUT SHARES-FISCAL,2837.909,3333.804,2853.13,3882.722,5446.385,6042.404,6856.206,NA
COSMO ENERGY HOLD - PRICE TO BOOK VAL,1.05,0.83,0.43,0.45,0.53,0.64,1.17,0.8
COLOPL INC - RETURN ON ASSETS,5.52,1.43,10.13,3.72,2.97,2.3,-2.31,NA
COLOPL INC - TOTAL DEBT % COMMON EQUITY,0,0,0,0,0,0,2.33,NA
COLOPL INC - TOTAL DEBT % TOTAL CAPITAL/STD,0,0,0,0,0,0,2.28,NA
COLOPL INC - BOOK VALUE-OUT SHARES-FISCAL,555.646,544.528,592.806,591.855,597.237,594.256,556.067,NA
COLOPL INC - PRICE TO BOOK VAL,1.49,1.23,1.37,1.45,1.1,1.05,1.1,0.81
NTT DATA GROUP CORP - RETURN ON ASSETS,2.84,4.25,3.12,3.23,5.09,3.83,2.8,NA
NTT DATA GROUP CORP - TOTAL DEBT % COMMON EQUITY,68.6,67.04,80.81,68.8,52.17,137.76,142.6,NA
NTT DATA GROUP CORP - TOTAL DEBT % TOTAL CAPITAL/STD,39.7,39.09,43.47,39.59,33.3,45.5,46.86,NA
NTT DATA GROUP CORP - BOOK VALUE-OUT SHARES-FISCAL,594.553,660.012,670.006,764.992,906.224,1035.931,1226.23,NA
NTT DATA GROUP CORP - PRICE TO BOOK VAL,1.69,1.84,1.38,1.93,2.28,1.48,1.9,2.07
CONCORDIA F - RETURN ON ASSETS,0.37,0.3,0.26,0.13,0.24,0.24,0.3,NA
CONCORDIA F - TOTAL DEBT % COMMON EQUITY,135.12,118.38,95.16,162.98,281.05,389.45,196.84,NA
