Name,2014,2015,2016,2017
DENTSU GRO - RETURN ON ASSETS,1.76,3.66,2.91,3.41
DENTSU GRO - TOTAL DEBT % COMMON EQUITY,38.78,33.12,43.27,42.38
DENTSU GRO - PRICE TO BOOK VAL,1.05,1.65,1.68,1.52
DAIFUKU CO LTD - RETURN ON ASSETS,3.71,3.98,5.05,5.8
DAIFUKU CO LTD - TOTAL DEBT % COMMON EQUITY,62.11,57.84,33.52,29.7
DAIFUKU CO LTD - PRICE TO BOOK VAL,1.31,1.83,1.72,2.17
DAIWA HOUSE INDUSTRY - RETURN ON ASSETS,4.32,4.33,3.49,6.18
DAIWA HOUSE INDUSTRY - TOTAL DEBT % COMMON EQUITY,42.83,53.72,44.1,51.02
DAIWA HOUSE INDUSTRY - PRICE TO BOOK VAL,1.11,1.65,1.64,1.62
DIGITAL GARAGE INC - RETURN ON ASSETS,4.57,6.53,6.38,6
DIGITAL GARAGE INC - TOTAL DEBT % COMMON EQUITY,41.05,100.49,60.82,70.5
DIGITAL GARAGE INC - PRICE TO BOOK VAL,2.12,2.76,3.66,2.37
MITSUBISHI HC - RETURN ON ASSETS,0.91,0.97,1.12,1.06
MITSUBISHI HC - TOTAL DEBT % COMMON EQUITY,694.11,670.7,650.05,646.58
MITSUBISHI HC - PRICE TO BOOK VAL,0.76,0.94,0.64,0.69
DISCO CORPORATION - RETURN ON ASSETS,7.46,10.81,11.29,11.19
DISCO CORPORATION - TOTAL DEBT % COMMON EQUITY,15.34,7.4,6.11,4.96
DISCO CORPORATION - PRICE TO BOOK VAL,1.44,2.5,1.92,3.29
DAITO TRUST CONSTR. - RETURN ON ASSETS,8.89,8.43,9.78,11.37
DAITO TRUST CONSTR. - TOTAL DEBT % COMMON EQUITY,44.62,34.58,29.53,20.29
DAITO TRUST CONSTR. - PRICE TO BOOK VAL,3.44,4.34,4.57,4.3
DAIDO STEEL CO LTD - RETURN ON ASSETS,2.6,2.07,1.34,3.07
DAIDO STEEL CO LTD - TOTAL DEBT % COMMON EQUITY,61.63,57.11,58.46,54.88
DAIDO STEEL CO LTD - PRICE TO BOOK VAL,0.86,1.01,0.59,0.92
DOWA HOLDINGS CO - RETURN ON ASSETS,6.96,7.47,6.1,7.03
DOWA HOLDINGS CO - TOTAL DEBT % COMMON EQUITY,63.53,46.96,42.38,36.95
DOWA HOLDINGS CO - PRICE TO BOOK VAL,1.34,1.69,0.93,0.95
PAN PACIFIC - RETURN ON ASSETS,5.45,5.1,4.84,5.69
PAN PACIFIC - TOTAL DEBT % COMMON EQUITY,50.33,59.66,66.78,71.26
PAN PACIFIC - PRICE TO BOOK VAL,2.41,3.66,2.41,2.56
DAI NIPPON PRINTING - RETURN ON ASSETS,1.75,1.68,2,1.55
DAI NIPPON PRINTING - TOTAL DEBT % COMMON EQUITY,21.33,18.98,20.07,17.93
DAI NIPPON PRINTING - PRICE TO BOOK VAL,0.58,0.8,0.67,0.7
SUMITOMO PHARMA - RETURN ON ASSETS,3.3,2.34,3.58,3.92
SUMITOMO PHARMA - TOTAL DEBT % COMMON EQUITY,25.14,20.46,12.77,16.13
SUMITOMO PHARMA - PRICE TO BOOK VAL,1.27,1.25,1.32,1.52
SUNDRUG CO LTD - RETURN ON ASSETS,8.82,8.64,10.69,10.73
SUNDRUG CO LTD - TOTAL DEBT % COMMON EQUITY,0.56,0.28,0.22,0.19
SUNDRUG CO LTD - PRICE TO BOOK VAL,2.33,2.84,3.78,3.22
DAIWA SECURITIES - RETURN ON ASSETS,1.17,1.23,1.18,1.21
DAIWA SECURITIES - TOTAL DEBT % COMMON EQUITY,313.06,910.62,757.46,764.07
DAIWA SECURITIES - PRICE TO BOOK VAL,1.04,1.37,0.84,0.85
FANUC LTD. - RETURN ON ASSETS,8.66,14.05,10.27,8.39
FANUC LTD. - TOTAL DEBT % COMMON EQUITY,0,0,0,0
FANUC LTD. - PRICE TO BOOK VAL,2.39,3.78,2.29,2.9
DAIWA HOUSE REIT - RETURN ON ASSETS,3.18,3.15,3.06,3.13
DAIWA HOUSE REIT - TOTAL DEBT % COMMON EQUITY,109,127.22,127.58,74.81
DAIWA HOUSE REIT - PRICE TO BOOK VAL,1.44,1.84,1.79,1.28
CYBERDYNE INC - RETURN ON ASSETS,-14.59,-3.28,-1.4,-1.66
CYBERDYNE INC - TOTAL DEBT % COMMON EQUITY,0,71.59,73.63,0
CYBERDYNE INC - PRICE TO BOOK VAL,2.33,10.92,11.28,7.11
EAST JAPAN RAILWAY - RETURN ON ASSETS,3.59,3.12,3.93,4.27
EAST JAPAN RAILWAY - TOTAL DEBT % COMMON EQUITY,153.27,145.35,134.33,122.2
EAST JAPAN RAILWAY - PRICE TO BOOK VAL,1.29,1.84,1.45,1.42
EBARA CORP - RETURN ON ASSETS,3.98,4.53,3.16,2.17
EBARA CORP - TOTAL DEBT % COMMON EQUITY,57.3,50.67,49.64,41.05
EBARA CORP - PRICE TO BOOK VAL,1.16,1.11,1.03,1.12
DENKA CO LTD - RETURN ON ASSETS,3.38,4.5,4.54,4.2
DENKA CO LTD - TOTAL DEBT % COMMON EQUITY,64.5,58.88,59.04,51.03
DENKA CO LTD - PRICE TO BOOK VAL,0.78,1.16,0.96,1.05
EDION CORP - RETURN ON ASSETS,1.53,1.45,1.78,3.86
EDION CORP - TOTAL DEBT % COMMON EQUITY,69.24,81.55,71.25,64.64
EDION CORP - PRICE TO BOOK VAL,0.5,0.58,0.53,0.64
HOUSE SHOKUHIN - RETURN ON ASSETS,3.41,2.52,7.18,2.5
HOUSE SHOKUHIN - TOTAL DEBT % COMMON EQUITY,6.49,5.5,5.56,4.62
HOUSE SHOKUHIN - PRICE TO BOOK VAL,0.84,1.05,0.96,1.1
"KOKUYO CO., LTD. - RETURN ON ASSETS",1.98,2.34,4.29,5.1
"KOKUYO CO., LTD. - TOTAL DEBT % COMMON EQUITY",20.56,18.72,17.61,15.91
"KOKUYO CO., LTD. - PRICE TO BOOK VAL",0.52,0.73,0.94,0.88
SEKISUI CHEMICAL CO. - RETURN ON ASSETS,4.62,5.64,6.08,6.56
SEKISUI CHEMICAL CO. - TOTAL DEBT % COMMON EQUITY,20.57,12.22,10,7.95
SEKISUI CHEMICAL CO. - PRICE TO BOOK VAL,1.04,1.54,1.26,1.54
TOKAI CARBON CO. - RETURN ON ASSETS,1.53,1.37,-4.4,7.08
TOKAI CARBON CO. - TOTAL DEBT % COMMON EQUITY,29.96,19.96,15.88,13.34
TOKAI CARBON CO. - PRICE TO BOOK VAL,0.48,0.6,0.57,0.95
SUMITOMO METAL MNG. - RETURN ON ASSETS,5.69,5.66,0.27,-0.82
SUMITOMO METAL MNG. - TOTAL DEBT % COMMON EQUITY,42.01,37.49,40.75,51.54
SUMITOMO METAL MNG. - PRICE TO BOOK VAL,0.83,1.04,0.66,0.74
BENESSE HOLDING - RETURN ON ASSETS,4.47,-1.73,-1.05,1.18
BENESSE HOLDING - TOTAL DEBT % COMMON EQUITY,28.98,39.28,54.39,62.85
BENESSE HOLDING - PRICE TO BOOK VAL,2.04,1.71,1.4,2.33
SQUARE ENIX - RETURN ON ASSETS,3.2,4.63,9.1,8.56
SQUARE ENIX - TOTAL DEBT % COMMON EQUITY,33.08,4.63,5.8,4.68
SQUARE ENIX - PRICE TO BOOK VAL,1.22,1.86,2.29,2.16
SCREEN HOLDINGS - RETURN ON ASSETS,2.64,5.36,7.59,8.71
SCREEN HOLDINGS - TOTAL DEBT % COMMON EQUITY,47.86,35.79,33.13,12.31
SCREEN HOLDINGS - PRICE TO BOOK VAL,0.92,1.79,1.69,2.2
ELECTRIC POWER DEV - RETURN ON ASSETS,2.02,2.56,2.37,2.43
ELECTRIC POWER DEV - TOTAL DEBT % COMMON EQUITY,321.98,250.37,242.36,223.85
ELECTRIC POWER DEV - PRICE TO BOOK VAL,0.74,1.12,0.72,0.64
DIC CORPORATION - RETURN ON ASSETS,4.02,5.48,5.07,5.4
DIC CORPORATION - TOTAL DEBT % COMMON EQUITY,109.78,98.85,86.63,84.31
DIC CORPORATION - PRICE TO BOOK VAL,1.01,1.29,0.87,1.12
EISAI CO LTD - RETURN ON ASSETS,3.88,5.15,6.32,4.53
EISAI CO LTD - TOTAL DEBT % COMMON EQUITY,49.52,39.43,35.49,36.51
EISAI CO LTD - PRICE TO BOOK VAL,1.95,4.06,3.33,2.89
ASICS CORPORATION - RETURN ON ASSETS,10.17,3.1,4.72,3.9
ASICS CORPORATION - TOTAL DEBT % COMMON EQUITY,37.31,28.97,33.93,30.86
ASICS CORPORATION - PRICE TO BOOK VAL,1.97,3.13,2.33,1.76
FUJI ELECTRIC - RETURN ON ASSETS,2.73,3.48,3.69,4.92
FUJI ELECTRIC - TOTAL DEBT % COMMON EQUITY,102.89,78,95.58,63
FUJI ELECTRIC - PRICE TO BOOK VAL,1.04,1.78,1.1,1.29
SUBARU CORP - RETURN ON ASSETS,12.11,13.01,18.41,10.67
SUBARU CORP - TOTAL DEBT % COMMON EQUITY,35.89,21.17,13.04,10.58
SUBARU CORP - PRICE TO BOOK VAL,1.84,2.57,2.05,1.88
FUJIFILM HOLDINGS - RETURN ON ASSETS,2.69,3.6,3.66,3.96
FUJIFILM HOLDINGS - TOTAL DEBT % COMMON EQUITY,17.8,15.66,17.8,27.35
FUJIFILM HOLDINGS - PRICE TO BOOK VAL,0.55,1.03,0.97,0.85
FUJITSU LIMITED - RETURN ON ASSETS,1.8,4.77,2.92,3
FUJITSU LIMITED - TOTAL DEBT % COMMON EQUITY,97.82,73.22,68.03,55.04
FUJITSU LIMITED - PRICE TO BOOK VAL,1.7,1.77,0.97,1.5
FURUKAWA ELECTRIC CO - RETURN ON ASSETS,1.02,1.34,1.73,2.82
FURUKAWA ELECTRIC CO - TOTAL DEBT % COMMON EQUITY,157.86,145.65,150.5,123.41
FURUKAWA ELECTRIC CO - PRICE TO BOOK VAL,0.78,0.97,0.93,1.31
FUKUOKA FINANCIAL - RETURN ON ASSETS,NA,0.26,0.29,-0.3
FUKUOKA FINANCIAL - TOTAL DEBT % COMMON EQUITY,141.85,270.21,311.62,512.93
FUKUOKA FINANCIAL - PRICE TO BOOK VAL,0.49,0.76,0.46,0.56
FUJI SOFT INC - RETURN ON ASSETS,3.21,3.22,3.23,3.49
FUJI SOFT INC - TOTAL DEBT % COMMON EQUITY,23.87,16.46,16.89,12.29
FUJI SOFT INC - PRICE TO BOOK VAL,0.71,0.87,0.78,0.95
NH FOODS LTD - RETURN ON ASSETS,4.21,5.03,3.4,5.17
NH FOODS LTD - TOTAL DEBT % COMMON EQUITY,45.16,38.68,43.39,34.22
NH FOODS LTD - PRICE TO BOOK VAL,1.05,1.49,1.33,1.62
"FURUKAWA CO., LTD. - RETURN ON ASSETS",2.4,5.31,2.84,2.34
"FURUKAWA CO., LTD. - TOTAL DEBT % COMMON EQUITY",166.16,120.31,115.89,95.72
"FURUKAWA CO., LTD. - PRICE TO BOOK VAL",1.11,1.34,0.91,0.93
GREE HOLDINGS - RETURN ON ASSETS,11.32,-7.73,7.34,10.49
GREE HOLDINGS - TOTAL DEBT % COMMON EQUITY,9.93,1.68,0.03,0.13
GREE HOLDINGS - PRICE TO BOOK VAL,1.72,1.88,1.46,1.97
FUJIKURA LTD. - RETURN ON ASSETS,0.82,2.57,2.39,2.59
FUJIKURA LTD. - TOTAL DEBT % COMMON EQUITY,102.34,96.05,102.21,112.66
FUJIKURA LTD. - PRICE TO BOOK VAL,0.61,1.02,0.78,1.12
GUNGHO ONLINE ENTMT - RETURN ON ASSETS,43.62,32.43,34.59,34.4
GUNGHO ONLINE ENTMT - TOTAL DEBT % COMMON EQUITY,1.29,1.43,3.2,1
GUNGHO ONLINE ENTMT - PRICE TO BOOK VAL,4.51,5.08,4.85,3.23
SHIP HEALTHCARE - RETURN ON ASSETS,5.54,4.1,4.32,4
SHIP HEALTHCARE - TOTAL DEBT % COMMON EQUITY,75.18,50.85,47.98,51.57
SHIP HEALTHCARE - PRICE TO BOOK VAL,2.19,1.57,1.76,1.59
"NHK SPRING CO., LTD. - RETURN ON ASSETS",5.67,4.9,4.23,4.85
"NHK SPRING CO., LTD. - TOTAL DEBT % COMMON EQUITY",28.76,21.18,22.59,19.37
"NHK SPRING CO., LTD. - PRICE TO BOOK VAL",0.81,1.33,0.81,0.95
GLORY LTD - RETURN ON ASSETS,3.21,4,2.79,3.44
GLORY LTD - TOTAL DEBT % COMMON EQUITY,40.21,32.26,26.46,26.82
GLORY LTD - PRICE TO BOOK VAL,0.93,1.32,1.13,1.25
GLP TOSHI HOJIN - RETURN ON ASSETS,3.64,3.5,3.43,3.6
GLP TOSHI HOJIN - TOTAL DEBT % COMMON EQUITY,112.39,107.02,101.25,98.39
GLP TOSHI HOJIN - PRICE TO BOOK VAL,1.68,1.75,1.77,1.69
GUNMA BANK LTD - RETURN ON ASSETS,0.29,0.36,0.39,0.36
GUNMA BANK LTD - TOTAL DEBT % COMMON EQUITY,52.65,124.63,115.79,135.01
GUNMA BANK LTD - PRICE TO BOOK VAL,0.47,0.77,0.35,0.49
GMO PAYMENT GATEWAY - RETURN ON ASSETS,6.62,5.59,6.04,4.31
GMO PAYMENT GATEWAY - TOTAL DEBT % COMMON EQUITY,2.04,0.69,1,19.71
GMO PAYMENT GATEWAY - PRICE TO BOOK VAL,8.01,7.15,14.66,10.71
TAIYO YUDEN CO. LTD. - RETURN ON ASSETS,3.15,4.38,5.63,2.08
TAIYO YUDEN CO. LTD. - TOTAL DEBT % COMMON EQUITY,57.92,36.55,35.18,33.69
TAIYO YUDEN CO. LTD. - PRICE TO BOOK VAL,0.86,1.34,0.85,1.06
GS YUASA CORP - RETURN ON ASSETS,3.29,3.04,2.76,3.6
GS YUASA CORP - TOTAL DEBT % COMMON EQUITY,59.66,52.41,49.2,47.02
GS YUASA CORP - PRICE TO BOOK VAL,1.43,1.45,1.18,1.16
KURITA WATER INDS. - RETURN ON ASSETS,3.58,3.76,4.37,4.97
KURITA WATER INDS. - TOTAL DEBT % COMMON EQUITY,2.74,3.44,3.85,4.2
KURITA WATER INDS. - PRICE TO BOOK VAL,1.12,1.51,1.31,1.39
GUNZE LTD - RETURN ON ASSETS,1.62,1.95,-0.59,1.92
GUNZE LTD - TOTAL DEBT % COMMON EQUITY,22.06,25.47,29.79,26.25
GUNZE LTD - PRICE TO BOOK VAL,0.46,0.59,0.57,0.65
HACHIJUNI BANK LTD - RETURN ON ASSETS,0.36,0.36,0.38,0.33
HACHIJUNI BANK LTD - TOTAL DEBT % COMMON EQUITY,47.12,52.35,66.92,116.64
HACHIJUNI BANK LTD - PRICE TO BOOK VAL,0.42,0.73,0.35,0.43
"HITACHI, LTD. - RETURN ON ASSETS",2.72,2.03,1.52,2.21
"HITACHI, LTD. - TOTAL DEBT % COMMON EQUITY",106.48,120.9,131.79,39.66
"HITACHI, LTD. - PRICE TO BOOK VAL",1.1,1.5,0.81,0.98
HAKUHODO DY HLDGS - RETURN ON ASSETS,3.41,3.3,4.4,3.74
HAKUHODO DY HLDGS - TOTAL DEBT % COMMON EQUITY,2.29,1.95,3.15,4
HAKUHODO DY HLDGS - PRICE TO BOOK VAL,1.26,1.83,1.69,1.64
HOKUHOKU FIN GRP - RETURN ON ASSETS,0.26,0.26,0.26,0.25
HOKUHOKU FIN GRP - TOTAL DEBT % COMMON EQUITY,52.93,44.05,69.44,174.2
HOKUHOKU FIN GRP - PRICE TO BOOK VAL,0.5,0.76,0.33,0.4
"HIKARI TSUSHIN, INC. - RETURN ON ASSETS",10.09,5.78,6.37,8.82
"HIKARI TSUSHIN, INC. - TOTAL DEBT % COMMON EQUITY",45.93,50.58,60.61,95.93
"HIKARI TSUSHIN, INC. - PRICE TO BOOK VAL",2.34,2.28,2.26,2.27
HIS CO LTD - RETURN ON ASSETS,3.72,3.79,0.11,3.64
HIS CO LTD - TOTAL DEBT % COMMON EQUITY,77.62,86.57,163,202.35
HIS CO LTD - PRICE TO BOOK VAL,1.99,2.79,2.2,1.92
"HITACHI METALS, LTD. - RETURN ON ASSETS",6.01,7.66,6.87,5.15
"HITACHI METALS, LTD. - TOTAL DEBT % COMMON EQUITY",50.08,54.75,44.44,36.24
"HITACHI METALS, LTD. - PRICE TO BOOK VAL",1.28,1.77,0.92,1.11
H2O RETAILING CORP - RETURN ON ASSETS,0.09,2.5,2.44,2.47
H2O RETAILING CORP - TOTAL DEBT % COMMON EQUITY,24.26,62.77,54.7,62.48
H2O RETAILING CORP - PRICE TO BOOK VAL,0.74,1.17,0.75,0.85
HANKYU HANSHIN - RETURN ON ASSETS,2.44,2.82,3.48,3.43
HANKYU HANSHIN - TOTAL DEBT % COMMON EQUITY,171.41,144.19,129.5,114.23
HANKYU HANSHIN - PRICE TO BOOK VAL,1.04,1.33,1.18,1.15
"HONDA MOTOR CO., LTD - RETURN ON ASSETS",3.98,3.06,1.96,3.39
"HONDA MOTOR CO., LTD - TOTAL DEBT % COMMON EQUITY",98.95,95.09,96.52,93.34
"HONDA MOTOR CO., LTD - PRICE TO BOOK VAL",0.86,1.12,0.73,0.68
HOKURIKU ELEC. POWER - RETURN ON ASSETS,0.58,1.13,1.36,0.21
HOKURIKU ELEC. POWER - TOTAL DEBT % COMMON EQUITY,272.49,260.9,283.94,301.12
HOKURIKU ELEC. POWER - PRICE TO BOOK VAL,0.79,1.19,0.9,0.7
HOYA CORP - RETURN ON ASSETS,9.16,13.26,13.92,13.71
HOYA CORP - TOTAL DEBT % COMMON EQUITY,11.79,6.37,7.57,7.32
HOYA CORP - PRICE TO BOOK VAL,2.23,3.88,2.93,3.95
HIROGIN HOLDINGS - RETURN ON ASSETS,0.35,0.37,0.41,0.39
HIROGIN HOLDINGS - TOTAL DEBT % COMMON EQUITY,106.47,123.85,135,227.33
HIROGIN HOLDINGS - PRICE TO BOOK VAL,0.61,1.02,0.56,0.58
HISAMITSU PHARMA - RETURN ON ASSETS,9.21,7.04,6.28,7.28
HISAMITSU PHARMA - TOTAL DEBT % COMMON EQUITY,1.43,1.17,1.07,0.96
HISAMITSU PHARMA - PRICE TO BOOK VAL,1.59,1.96,2.08,1.99
HOSHIZAKI - RETURN ON ASSETS,6.32,6.58,7.79,7.82
HOSHIZAKI - TOTAL DEBT % COMMON EQUITY,1.04,0.63,0.22,0.28
HOSHIZAKI - PRICE TO BOOK VAL,1.93,2.9,4,3.38
HITACHI CONSTRUCTION - RETURN ON ASSETS,3.22,2.82,1.13,1.06
HITACHI CONSTRUCTION - TOTAL DEBT % COMMON EQUITY,98.61,72.12,61.84,68.64
HITACHI CONSTRUCTION - PRICE TO BOOK VAL,0.93,1.19,0.89,1.22
HULIC CO - RETURN ON ASSETS,3.38,3.95,3.42,3.66
HULIC CO - TOTAL DEBT % COMMON EQUITY,233.91,210.33,197.5,220.21
HULIC CO - PRICE TO BOOK VAL,3.84,2.77,2.18,1.81
HOKKAIDO ELECTRIC - RETURN ON ASSETS,-2.74,0.36,1.92,1.29
HOKKAIDO ELECTRIC - TOTAL DEBT % COMMON EQUITY,960.43,1015.45,927.72,958.34
HOKKAIDO ELECTRIC - PRICE TO BOOK VAL,1.21,1.78,1.32,1.08
MINEBEA MITSUMI INC - RETURN ON ASSETS,6.14,9.56,7.98,7.72
MINEBEA MITSUMI INC - TOTAL DEBT % COMMON EQUITY,94.29,61.36,59.42,51.08
MINEBEA MITSUMI INC - PRICE TO BOOK VAL,1.6,3.54,1.13,1.99
"IBIDEN CO., LTD. - RETURN ON ASSETS",3.99,3.95,1.56,-14.23
"IBIDEN CO., LTD. - TOTAL DEBT % COMMON EQUITY",19.6,21.5,21.5,27.39
"IBIDEN CO., LTD. - PRICE TO BOOK VAL",0.71,0.94,0.71,0.97
IDEMITSU KOSAN CO - RETURN ON ASSETS,1.51,-4.43,-0.98,3.86
IDEMITSU KOSAN CO - TOTAL DEBT % COMMON EQUITY,154.03,171.34,181.68,180.26
IDEMITSU KOSAN CO - PRICE TO BOOK VAL,0.55,0.73,0.63,0.82
NITTO DENKO CORP - RETURN ON ASSETS,6.92,9.95,10.14,7.74
NITTO DENKO CORP - TOTAL DEBT % COMMON EQUITY,11.49,1.5,1.04,0.63
NITTO DENKO CORP - PRICE TO BOOK VAL,1.25,2.38,1.68,2.08
IHI CORP - RETURN ON ASSETS,2.54,0.65,0.33,0.42
IHI CORP - TOTAL DEBT % COMMON EQUITY,103.45,118.51,117.39,116.59
IHI CORP - PRICE TO BOOK VAL,1.71,2.78,1.31,1.93
IIDA GROUP - RETURN ON ASSETS,NA,3.3,6.84,7.25
IIDA GROUP - TOTAL DEBT % COMMON EQUITY,56.85,45.15,43.34,52.44
IIDA GROUP - PRICE TO BOOK VAL,0.87,0.93,1.07,0.7
ISUZU MOTORS LIMITED - RETURN ON ASSETS,8.58,7.26,6.54,5.27
ISUZU MOTORS LIMITED - TOTAL DEBT % COMMON EQUITY,21.79,30.19,34.44,30.22
ISUZU MOTORS LIMITED - PRICE TO BOOK VAL,1.31,1.73,1.16,1.19
YAMAHA CORP - RETURN ON ASSETS,5.59,5.21,6.61,9.52
YAMAHA CORP - TOTAL DEBT % COMMON EQUITY,3.34,3.56,2.96,3.17
YAMAHA CORP - PRICE TO BOOK VAL,0.85,1.54,1.69,1.7
INPEX CORP - RETURN ON ASSETS,4.85,1.84,0.47,1.09
INPEX CORP - TOTAL DEBT % COMMON EQUITY,20.92,22.09,25.29,23.37
INPEX CORP - PRICE TO BOOK VAL,0.68,0.73,0.43,0.53
KANSAI PAINT CO. - RETURN ON ASSETS,5.86,5.05,6.67,5.16
KANSAI PAINT CO. - TOTAL DEBT % COMMON EQUITY,12.17,9.8,10.04,47.24
KANSAI PAINT CO. - PRICE TO BOOK VAL,1.52,2.28,2.14,2.32
ITOCHU CORP - RETURN ON ASSETS,3.56,3.93,3.22,4.67
ITOCHU CORP - TOTAL DEBT % COMMON EQUITY,145.71,130.55,149.26,125.71
ITOCHU CORP - PRICE TO BOOK VAL,0.75,1.15,0.9,0.94
ABC-MART INC - RETURN ON ASSETS,10.79,11.34,11.08,11.52
ABC-MART INC - TOTAL DEBT % COMMON EQUITY,29.53,26.37,1.82,0.72
ABC-MART INC - PRICE TO BOOK VAL,2.37,2.96,2.71,2.17
ITO EN LTD - RETURN ON ASSETS,5.15,2.99,2.33,4.91
ITO EN LTD - TOTAL DEBT % COMMON EQUITY,50.64,65.13,62.2,60.67
ITO EN LTD - PRICE TO BOOK VAL,2.17,2.46,3.33,3.78
ITOCHU TECHNO-SOL - RETURN ON ASSETS,5.15,6.23,6.16,7.1
ITOCHU TECHNO-SOL - TOTAL DEBT % COMMON EQUITY,10.64,11.31,9.14,8.16
ITOCHU TECHNO-SOL - PRICE TO BOOK VAL,1.43,1.92,1.47,2
NOK CORP - RETURN ON ASSETS,3.79,6.9,4.38,4.01
NOK CORP - TOTAL DEBT % COMMON EQUITY,34.66,22.78,21.56,21.45
NOK CORP - PRICE TO BOOK VAL,0.68,1.77,0.75,0.93
SUZUKI MOTOR CORP - RETURN ON ASSETS,4.2,3.39,4.08,5.64
SUZUKI MOTOR CORP - TOTAL DEBT % COMMON EQUITY,34.6,38.35,56.5,58.25
SUZUKI MOTOR CORP - PRICE TO BOOK VAL,1.07,1.94,1.07,1.76
JAPAN DIS - RETURN ON ASSETS,8.41,-1.21,-3.62,-3.38
JAPAN DIS - TOTAL DEBT % COMMON EQUITY,25.35,20.83,21.29,41.61
JAPAN DIS - PRICE TO BOOK VAL,0.79,0.81,0.37,1.57
JAPAN AIRLINES - RETURN ON ASSETS,13.24,10.76,11.54,10.19
JAPAN AIRLINES - TOTAL DEBT % COMMON EQUITY,19.45,12.95,10.99,11.94
JAPAN AIRLINES - PRICE TO BOOK VAL,1.21,1.75,1.37,1.12
JSR CORP - RETURN ON ASSETS,5.14,5.82,4.66,5.61
JSR CORP - TOTAL DEBT % COMMON EQUITY,8.02,10.87,12.17,17.15
JSR CORP - PRICE TO BOOK VAL,1.08,1.39,0.99,1.07
IWATANI CORP - RETURN ON ASSETS,2.96,1.76,3.32,4.16
IWATANI CORP - TOTAL DEBT % COMMON EQUITY,166.55,130.08,118.93,100.65
IWATANI CORP - PRICE TO BOOK VAL,1.24,1.79,1.16,1.1
JFE HOLDINGS INC - RETURN ON ASSETS,2.72,3.36,0.9,1.79
JFE HOLDINGS INC - TOTAL DEBT % COMMON EQUITY,92.18,79.25,78.9,75.56
JFE HOLDINGS INC - PRICE TO BOOK VAL,0.55,0.9,0.45,0.54
ZEON CORP - RETURN ON ASSETS,5.58,5.08,4.73,5.91
ZEON CORP - TOTAL DEBT % COMMON EQUITY,37.39,28.27,27.4,18.87
ZEON CORP - PRICE TO BOOK VAL,0.94,1.23,0.76,1
JGC HOLDINGS CORP - RETURN ON ASSETS,6.91,2.87,6.2,-3.25
JGC HOLDINGS CORP - TOTAL DEBT % COMMON EQUITY,3.71,9.27,8.84,7.18
JGC HOLDINGS CORP - PRICE TO BOOK VAL,1.87,1.49,1.14,1.08
JAPAN POST BAN - RETURN ON ASSETS,NA,0.22,0.2,0.2
JAPAN POST BAN - TOTAL DEBT % COMMON EQUITY,93.05,116.68,119.06,125.14
JAPAN POST BAN - PRICE TO BOOK VAL,NA,NA,0.42,0.45
JAPAN PETROLEUM - RETURN ON ASSETS,5.05,4.33,0.4,0.56
JAPAN PETROLEUM - TOTAL DEBT % COMMON EQUITY,13.96,18.69,31.79,34.21
JAPAN PETROLEUM - PRICE TO BOOK VAL,0.48,0.54,0.31,0.31
JAPAN POST - RETURN ON ASSETS,0.16,0.16,0.15,-0.01
JAPAN POST - TOTAL DEBT % COMMON EQUITY,135.12,158,163.92,191.88
JAPAN POST - PRICE TO BOOK VAL,NA,NA,0.56,0.52
JAPAN POST IN - RETURN ON ASSETS,NA,0.1,0.11,0.11
JAPAN POST IN - TOTAL DEBT % COMMON EQUITY,0,258.21,247.05,319.42
JAPAN POST IN - PRICE TO BOOK VAL,NA,NA,0.94,0.91
JAPAN PRIME REALTY - RETURN ON ASSETS,3.08,3.23,3.29,3.48
JAPAN PRIME REALTY - TOTAL DEBT % COMMON EQUITY,96.78,81.53,87.22,75.95
JAPAN PRIME REALTY - PRICE TO BOOK VAL,1.49,1.7,1.9,1.65
TOKYO TATEMONO CO. - RETURN ON ASSETS,8.36,1.77,1.86,1.93
TOKYO TATEMONO CO. - TOTAL DEBT % COMMON EQUITY,261.86,234.64,228.84,236.08
TOKYO TATEMONO CO. - PRICE TO BOOK VAL,1.34,1.34,0.95,0.95
TOKYU CORPORATION - RETURN ON ASSETS,3.35,2.45,3.1,3.61
TOKYU CORPORATION - TOTAL DEBT % COMMON EQUITY,197.25,168.43,165.62,156.15
TOKYU CORPORATION - PRICE TO BOOK VAL,1.53,1.71,1.86,1.43
CENTRAL JAPAN - RETURN ON ASSETS,6.11,6.15,7.46,7.23
CENTRAL JAPAN - TOTAL DEBT % COMMON EQUITY,136.85,108.22,85.2,127.19
CENTRAL JAPAN - PRICE TO BOOK VAL,1.24,1.87,1.41,1.18
JAPAN REAL ESTATE - RETURN ON ASSETS,2.77,2.71,2.76,2.87
JAPAN REAL ESTATE - TOTAL DEBT % COMMON EQUITY,74.1,79.67,75.92,79.84
JAPAN REAL ESTATE - PRICE TO BOOK VAL,1.59,1.6,1.86,1.64
JAPAN METROPOL - RETURN ON ASSETS,3.24,3.25,3.12,3.14
JAPAN METROPOL - TOTAL DEBT % COMMON EQUITY,94.84,97.07,91.6,88.94
JAPAN METROPOL - PRICE TO BOOK VAL,1.31,1.57,1.59,1.3
MITSUBISHI GAS CHEM - RETURN ON ASSETS,2.76,6.48,4.75,6.65
MITSUBISHI GAS CHEM - TOTAL DEBT % COMMON EQUITY,65.43,57.16,48.13,27.73
